Nom du jeu;Plateforme;Studio de développement;Date de sortie
Harley's Humongous Adventure;Super Nintendo;Visual Concepts;1993
Harvest Moon;Super Nintendo;Pack-In-Video;29/01/1998
Hebereke's Popoitto;Super Nintendo;Sunsoft;30/09/1995
Hebereke's Popoon;Super Nintendo;Sunsoft;22/02/1994
Home Alone;Super Nintendo;Imagineering;1992
Home Alone 2: Lost in New York;Super Nintendo;Imagineering;1993
Hook;Super Nintendo;Ukiyotei;23/11/1993
Hungry Dinosaurs;Super Nintendo;Magical Company;03/01/1995
Hurricanes;Super Nintendo;Probe Entertainment;1995
Hyper V-Ball;Super Nintendo;Video System;1994
HyperZone;Super Nintendo;HAL Laboratory;1992
Illusion of Time;Super Nintendo;Quintet;21/06/1995
Incantation;Super Nintendo;Titus Software;1996
Indiana Jones' Greatest Adventures;Super Nintendo;Factor 5;30/03/1995
International Sensible Soccer: World Champions;Super Nintendo;Sensible Software;1994
International Superstar Soccer;Super Nintendo;Konami;23/05/1995
International Superstar Soccer Deluxe;Super Nintendo;Konami;25/01/1996
International Tennis Tour;Super Nintendo;Loriciel;1993
Iron Commando;Super Nintendo;Arcade Zone;Cancelled
Izzy's Quest for the Olympic Rings;Super Nintendo;Alexandria;1995
J.R.R. Tolkien's The Lord of the Rings, Vol. I;Super Nintendo;Interplay Entertainment;23/05/1995
Jack Nicklaus Golf;Super Nintendo;Leland Interactive Media;1992
James Bond Jr.;Super Nintendo;Gray Matter;1992
James Pond 3: Operation Starfish;Super Nintendo;Vectordean;1993
James Pond's Crazy Sports;Super Nintendo;Vectordean;1994
Jelly Boy;Super Nintendo;Probe Entertainment;03/1995
Jimmy Connors Pro Tennis Tour;Super Nintendo;Blue Byte;27/10/1994
Joe & Mac 3: Lost in the Tropics;Super Nintendo;Data East;11/1995
Joe & Mac: Caveman Ninja;Super Nintendo;Data East;1992
John Madden Football '93;Super Nintendo;EA Canada;1992
Judge Dredd;Super Nintendo;Probe Entertainment;24/08/1995
Jungle Strike;Super Nintendo;Gremlin Interactive;1995
Jurassic Park;Super Nintendo;Ocean Software;29/12/1993
Jurassic Park 2: The Chaos Continues;Super Nintendo;Ocean Software;1994
Justice League Task Force;Super Nintendo;Blizzard Entertainment;07/1995
Kawasaki Superbike Challenge;Super Nintendo;Domark;1995
Kevin Keegan's Player Manager;Super Nintendo;Anco;1993
Kick Off;Super Nintendo;Anco;1993
Kick Off 3: European Challenge;Super Nintendo;Anco;1994
Kid Klown in Crazy Chase;Super Nintendo;Kemco;1995
Killer Instinct;Super Nintendo;Rare;21/09/1995
King Arthur's World;Super Nintendo;Argonaut Software;1993
King of the Monsters;Super Nintendo;Genki;1992
Kirby's Dream Course;Super Nintendo;HAL Laboratory / Nintendo EAD;24/08/1995
Kirby's Fun Pak;Super Nintendo;HAL Laboratory;23/01/1997
Kirby's Ghost Trap;Super Nintendo;HAL Laboratory (Kirby's Avalanche / Kirby's Ghost Trap only) / Compile;01/02/1995
Krusty's Super Fun House;Super Nintendo;Audiogenic;1992
Lagoon;Super Nintendo;Kemco;27/05/1993
Lamborghini American Challenge;Super Nintendo;Titus Software;1993
Last Action Hero;Super Nintendo;Bits Studios;10/12/1993
Legend;Super Nintendo;Arcade Zone;21/12/1994
Lemmings;Super Nintendo;Sunsoft / Chat Noir;08/1992
Lemmings 2: The Tribes;Super Nintendo;DMA Design;1994
Lethal Enforcers;Super Nintendo;Konami;1994
Lethal Weapon;Super Nintendo;Ocean Software;1992
Little Magic;Super Nintendo;;Cancelled
Lock On;Super Nintendo;Copya Systems;1993
Looney Tunes Basketball;Super Nintendo;Sculptured Software;05/1995
Looney Tunes: Road Runner;Super Nintendo;ICOM Simulations;30/09/1993
Lucky Luke;Super Nintendo;Infogrames;27/10/1997
Lufia;Super Nintendo;Neverland;1997
Madden NFL '94;Super Nintendo;Visual Concepts;1994
Madden NFL '95;Super Nintendo;Visual Concepts;1994
Magic Boy;Super Nintendo;Blue Turtle;1996
Magic Sword;Super Nintendo;Minakuchi Engineering;18/03/1993
Major Title;Super Nintendo;Irem;1993
Manchester United Championship Soccer;Super Nintendo;Krisalis Software;1995
Mario is Missing!;Super Nintendo;The Software Toolworks;09/1993
Mario Paint;Super Nintendo;Nintendo R&D1 / Intelligent Systems;10/12/1992
Mario's Time Machine;Super Nintendo;The Software Toolworks;1993
Marko's Magic Football;Super Nintendo;Domark;1995
Maru's Quest;Super Nintendo;;Cancelled
Marvel Super Heroes: War of the Gems;Super Nintendo;Capcom;1996
Maui Mallard in Cold Shadow;Super Nintendo;Eurocom Entertainment Software;28/11/1996
MechWarrior;Super Nintendo;Beam Software;1993
MechWarrior 3050;Super Nintendo;Tiburon Entertainment;1995
Mega Man 7;Super Nintendo;Capcom;20/11/1995
Mega Man X;Super Nintendo;Capcom;01/05/1994
Mega Man X2;Super Nintendo;Capcom;18/11/1995
Mega Man X3;Super Nintendo;Minakuchi Engineering;15/05/1996
Mega-Lo-Mania;Super Nintendo;Sensible Software;31/12/1994
Metal Combat: Falcon's Revenge;Super Nintendo;Intelligent Systems;1994
Metal Marines;Super Nintendo;Namco;1994
Michael Jordan: Chaos in the Windy City;Super Nintendo;Electronic Arts;11/03/1995
Mickey Mania: The Timeless Adventures of Mickey Mouse;Super Nintendo;Traveller's Tales;28/10/1994
Micro Machines;Super Nintendo;Codemasters;1994
Micro Machines 2: Turbo Tournament;Super Nintendo;Codemasters;22/02/1996
Might and Magic II;Super Nintendo;Iguana Entertainment;1993
Mighty Morphin Power Rangers;Super Nintendo;Natsume Co., Ltd.;11/1994
Mighty Morphin Power Rangers: The Fighting Edition;Super Nintendo;Natsume Co., Ltd.;11/1995
Mighty Morphin Power Rangers: The Movie;Super Nintendo;Natsume Co., Ltd.;1995
Mohawk & Headphone Jack;Super Nintendo;Solid Software;27/03/1997
Mortal Kombat;Super Nintendo;Sculptured Software;13/09/1993
Mortal Kombat 3;Super Nintendo;Sculptured Software;20/10/1995
Mortal Kombat II;Super Nintendo;Sculptured Software;09/09/1994
Mr. Do!;Super Nintendo;C-Lab;27/03/1997
Mr. Nutz;Super Nintendo;Ocean Software;1993
Ms. Pac-Man;Super Nintendo;Digital Eclipse Software;03/1997
Mystery Dungeon: Taloon's Great Adventure;Super Nintendo;Chunsoft;Cancelled
Mystic Quest Legend;Super Nintendo;Square;15/10/1993
NBA All-Star Challenge;Super Nintendo;Beam Software;1993
NBA Give 'n Go;Super Nintendo;Konami;1995
NBA Hangtime;Super Nintendo;Funcom;1996
NBA Jam;Super Nintendo;Iguana Entertainment;04/03/1994
NBA Jam Tournament Edition;Super Nintendo;Iguana Entertainment;23/02/1995
NBA Live 95;Super Nintendo;Electronic Arts;1994
NBA Live 96;Super Nintendo;Electronic Arts;23/11/1995
NBA Live 97;Super Nintendo;Electronic Arts;1996
Newman/Haas IndyCar featuring Nigel Mansell;Super Nintendo;Gremlin Interactive;08/12/1994
NFL Football;Super Nintendo;Park Place Productions;1993
NFL Quarterback Club;Super Nintendo;Iguana Entertainment;04/1995
NFL Quarterback Club 96;Super Nintendo;Iguana Entertainment;1995
NHL 95;Super Nintendo;Visual Concepts / High Score Productions;08/12/1994
NHL 96;Super Nintendo;High Score Productions / Tiburon Entertainment;26/10/1995
NHL 97;Super Nintendo;Ceris Software;28/11/1996
NHL Hockey '94;Super Nintendo;Electronic Arts;31/03/1994
NHLPA Hockey '93;Super Nintendo;Electronic Arts;05/04/1993
Nigel Mansell's World Championship;Super Nintendo;Gremlin Interactive;16/12/1993
Ninja Warriors: The New Generation;Super Nintendo;Natsume Co., Ltd.;04/1995
Nintendo Scope 6;Super Nintendo;Nintendo R&D1 / Intelligent Systems;26/08/1992
Olympic Summer Games;Super Nintendo;Black Pearl Software / Tiertex Design Studios;27/06/1996
